date,close
2013-09-26,77.9
2013-09-27,75.7
2013-09-30,74.7
2013-10-01,76.3
2013-10-02,75.33
2013-10-03,75.65
2013-10-04,76.44
2013-10-07,75.95
2013-10-08,77.73
2013-10-09,77.6
2013-10-10,78.8
2013-10-11,78.61
2013-10-14,78.6
2013-10-15,79.88
2013-10-16,79.99
2013-10-17,79.4
2013-10-18,81.15
2013-10-21,82.33
2013-10-22,82.67
2013-10-23,80.84
2013-10-24,80.58
2013-10-25,81.34
2013-10-28,81.6
2013-10-29,82.68
2013-10-30,82.54
2013-10-31,82.98
2013-11-01,83.61
2013-11-05,82.09
2013-11-06,83.22
2013-11-07,83.55
2013-11-08,82.94
2013-11-11,82.36
2013-11-12,83.05
2013-11-13,82.68
2013-11-14,83.24
2013-11-15,83.09
2013-11-18,83.89
2013-11-19,84.55
2013-11-20,85.35
2013-11-21,84.97
2013-11-22,85.55
2013-11-25,85.6
2013-11-26,85.16
2013-11-27,85.15
2013-11-28,85.17
2013-11-29,84.85
2013-12-02,84.61
2013-12-03,82.77
2013-12-04,82
2013-12-05,80.15
2013-12-06,81.09
2013-12-09,81.35
2013-12-10,81.15
2013-12-11,80.98
2013-12-12,80.79
2013-12-13,80.12
2013-12-16,80.14
2013-12-17,79.53
2013-12-18,79.71
2013-12-19,80.06
2013-12-20,80.57
2013-12-23,81.05
2013-12-24,80.58
2013-12-25,80.33
2013-12-26,80.11
2013-12-27,79.55
2013-12-30,80.21
2014-01-06,79.5
2014-01-08,78.05
2014-01-09,77.86
2014-01-10,78.16
2014-01-13,79.35
2014-01-14,78.26
2014-01-15,79.19
2014-01-16,79.02
2014-01-17,79.83
2014-01-20,81.18
2014-01-21,81.23
2014-01-22,81.26
2014-01-23,81.06
2014-01-24,79.49
2014-01-27,77.2
2014-01-28,76.61
2014-01-29,76.16
2014-01-30,75.5
2014-01-31,75.09
2014-02-03,74.98
2014-02-04,75
2014-02-05,75.81
2014-02-06,76.75
2014-02-07,77.7
2014-02-10,77.27
2014-02-11,78.69
2014-02-12,80.25
2014-02-13,78.76
2014-02-14,78.87
2014-02-17,79.43
2014-02-18,78.93
2014-02-19,77.69
2014-02-20,76.99
2014-02-21,77.77
2014-02-24,77.45
2014-02-25,78.09
2014-02-26,78.03
2014-02-27,76.19
2014-02-28,75.44
2014-03-03,66.14
2014-03-04,71.45
2014-03-05,73.36
2014-03-06,70.62
2014-03-07,68.26
2014-03-11,64.3
2014-03-12,61.48
2014-03-13,59.25
2014-03-14,58.54
2014-03-17,62.7
2014-03-18,65.88
2014-03-19,66.09
2014-03-20,65.51
2014-03-21,64.78
2014-03-24,66.27
2014-03-25,67.3
2014-03-26,67.68
2014-03-27,65.85
2014-03-28,65.68
2014-03-31,67.3
2014-04-01,67.62
2014-04-02,65.65
2014-04-03,65.35
2014-04-04,66.6
2014-04-07,64
2014-04-08,64.24
2014-04-09,65
2014-04-10,67.17
2014-04-11,67.21
2014-04-14,64.98
2014-04-15,60.11
2014-04-16,61.63
2014-04-17,61.42
2014-04-18,62.36
2014-04-21,61.43
2014-04-22,60.06
2014-04-23,59.8
2014-04-24,58.45
2014-04-25,56.99
2014-04-28,59.21
2014-04-29,59.2
2014-04-30,60.16
2014-05-02,59.62
2014-05-05,59.25
2014-05-06,60.66
2014-05-07,65.54
2014-05-08,65.75
2014-05-12,67.19
2014-05-13,69.11
2014-05-14,67.5
2014-05-15,66.5
2014-05-16,67.1
2014-05-19,68.34
2014-05-20,67.28
2014-05-21,67.84
2014-05-22,67
2014-05-23,68.83
2014-05-26,70.6
2014-05-27,68.7
2014-05-28,69.19
2014-05-29,68.78
2014-05-30,68.65
2014-06-02,70.35
2014-06-03,70.46
2014-06-04,71.91
2014-06-05,72.1
2014-06-06,72.89
2014-06-09,73.4
2014-06-10,73.33
2014-06-11,73.69
2014-06-16,69.45
2014-06-17,67.34
2014-06-18,67.59
2014-06-19,67.67
2014-06-20,67.1
2014-06-23,67.6
2014-06-24,69.66
2014-06-25,69.04
2014-06-26,69.4
2014-06-27,70.3
2014-06-30,69
2014-07-01,68.56
2014-07-02,69.4
2014-07-03,69.14
2014-07-04,68.02
2014-07-07,69.3
2014-07-08,69.02
2014-07-09,68.7
2014-07-10,67.29
2014-07-11,68.5
2014-07-14,68
2014-07-15,67.41
2014-07-16,67.74
2014-07-17,65.55
2014-07-18,63.7
2014-07-21,60.9
2014-07-22,62.71
2014-07-23,61.76
2014-07-24,61.8
2014-07-25,61
2014-07-28,57.67
2014-07-29,57.17
2014-07-30,57.74
2014-07-31,57.15
2014-08-01,57.13
2014-08-04,56.58
2014-08-05,56.25
2014-08-06,52.64
2014-08-07,52.7
2014-08-08,53.7
2014-08-11,57.1
2014-08-12,56.1
2014-08-13,56.96
2014-08-14,56.57
2014-08-15,57.09
2014-08-18,56.8
2014-08-19,56.97
2014-08-20,57.79
2014-08-21,59.17
2014-08-22,57.96
2014-08-25,58.75
2014-08-26,57.95
2014-08-27,58.1
2014-08-28,55.85
2014-08-29,55.13
2014-09-01,54.65
2014-09-02,55.09
2014-09-03,58.64
2014-09-04,59.39
2014-09-05,60.68
2014-09-08,60.33
2014-09-09,61.6
2014-09-10,61.16
2014-09-11,59.68
2014-09-12,59.2
2014-09-15,58.8
2014-09-16,60.39
2014-09-17,60.29
2014-09-18,59.27
2014-09-19,58
2014-09-22,57.15
2014-09-23,57.86
2014-09-24,58.59
2014-09-25,58.63
2014-09-26,58.62
2014-09-29,57.3
2014-09-30,57.75
2014-10-01,56.52
2014-10-02,55.3
2014-10-03,55.37
2014-10-06,57.3
2014-10-07,56.5
2014-10-08,55.45
2014-10-09,55.65
2014-10-10,55.5
2014-10-13,56.21
