date,value,currency
2013-11-01,220.7,RUB
2014-06-17,248.48,RUB
2014-12-22,762.34,RUB
2015-05-25,670.04,RUB
2015-09-25,305.07,RUB
2015-12-30,321.95,RUB
2016-06-21,230.14,RUB
2016-12-28,444.25,RUB
2017-06-23,446.1,RUB
2017-10-19,224.2,RUB
2018-07-17,607.98,RUB
2018-10-01,776.02,RUB
2019-06-21,792.52,RUB
2019-10-07,883.93,RUB
2019-12-27,604.09,RUB
2020-05-25,557.2,RUB
2020-12-24,623.35,RUB
2021-06-01,1021.22,RUB
2022-01-14,1523.17,RUB
2022-06-14,1166.22,RUB
2023-12-26,915.33,RUB
