date,value,currency
2014-07-11,2.38,RUB
2015-05-12,3.87,RUB
2016-05-16,7.11,RUB
2017-05-16,7.68,RUB
2017-09-29,2.49,RUB
2018-05-15,5.47,RUB
2019-05-14,7.7,RUB
2020-05-15,7.93,RUB
2021-05-14,9.45,RUB
2023-05-12,4.84,RUB
2023-06-16,4.84,RUB
2024-06-14,17.35,RUB
2025-07-10,26.11,RUB
2111-01-01,17.35,RUB
